run,method,iterations,runtime,tp,fn,fp,tn,accuracy,precision,recall,specificity,f1
run_06,PSO,100,395.0,21,5,13,75,0.8421052631578947,0.6176470588235294,0.8076923076923077,0.8522727272727273,0.7
run_06,DAPSO-4,10,21.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_06,DAPSO-4,20,34.0,23,3,14,74,0.8508771929824561,0.6216216216216216,0.8846153846153846,0.8409090909090909,0.7301587301587302
run_06,DAPSO-4,30,49.0,23,3,6,82,0.9210526315789473,0.7931034482758621,0.8846153846153846,0.9318181818181818,0.8363636363636363
run_06,DAPSO-4,40,64.0,23,3,6,82,0.9210526315789473,0.7931034482758621,0.8846153846153846,0.9318181818181818,0.8363636363636363
run_06,DAPSO-4,50,92.0,23,3,6,82,0.9210526315789473,0.7931034482758621,0.8846153846153846,0.9318181818181818,0.8363636363636363
run_06,DAPSO-4,60,118.0,23,3,6,82,0.9210526315789473,0.7931034482758621,0.8846153846153846,0.9318181818181818,0.8363636363636363
run_06,DAPSO-4,70,138.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_06,DAPSO-4,80,159.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_06,DAPSO-4,90,179.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_06,DAPSO-4,100,199.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_06,DAPSO-10,10,14.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_06,DAPSO-10,20,26.0,23,3,6,82,0.9210526315789473,0.7931034482758621,0.8846153846153846,0.9318181818181818,0.8363636363636363
run_06,DAPSO-10,30,37.0,23,3,6,82,0.9210526315789473,0.7931034482758621,0.8846153846153846,0.9318181818181818,0.8363636363636363
run_06,DAPSO-10,40,57.0,23,3,6,82,0.9210526315789473,0.7931034482758621,0.8846153846153846,0.9318181818181818,0.8363636363636363
run_06,DAPSO-10,50,72.0,23,3,6,82,0.9210526315789473,0.7931034482758621,0.8846153846153846,0.9318181818181818,0.8363636363636363
run_06,DAPSO-10,60,87.0,23,3,6,82,0.9210526315789473,0.7931034482758621,0.8846153846153846,0.9318181818181818,0.8363636363636363
run_06,DAPSO-10,70,102.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_06,DAPSO-10,80,121.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_06,DAPSO-10,90,133.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_06,DAPSO-10,100,148.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_07,PSO,10,34.0,18,8,17,71,0.7807017543859649,0.5142857142857142,0.6923076923076923,0.8068181818181818,0.5901639344262295
run_07,PSO,20,67.0,18,8,17,71,0.7807017543859649,0.5142857142857142,0.6923076923076923,0.8068181818181818,0.5901639344262295
run_07,PSO,30,100.0,18,8,17,71,0.7807017543859649,0.5142857142857142,0.6923076923076923,0.8068181818181818,0.5901639344262295
run_07,PSO,40,144.0,18,8,17,71,0.7807017543859649,0.5142857142857142,0.6923076923076923,0.8068181818181818,0.5901639344262295
run_07,PSO,50,189.0,18,8,17,71,0.7807017543859649,0.5142857142857142,0.6923076923076923,0.8068181818181818,0.5901639344262295
run_07,PSO,60,259.0,18,8,17,71,0.7807017543859649,0.5142857142857142,0.6923076923076923,0.8068181818181818,0.5901639344262295
run_07,PSO,70,289.0,18,8,17,71,0.7807017543859649,0.5142857142857142,0.6923076923076923,0.8068181818181818,0.5901639344262295
run_07,PSO,80,302.0,18,8,17,71,0.7807017543859649,0.5142857142857142,0.6923076923076923,0.8068181818181818,0.5901639344262295
run_07,PSO,90,334.0,18,8,17,71,0.7807017543859649,0.5142857142857142,0.6923076923076923,0.8068181818181818,0.5901639344262295
run_07,PSO,100,368.0,18,8,17,71,0.7807017543859649,0.5142857142857142,0.6923076923076923,0.8068181818181818,0.5901639344262295
run_07,DAPSO-4,10,20.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_07,DAPSO-4,20,31.0,22,4,16,72,0.8245614035087719,0.5789473684210527,0.8461538461538461,0.8181818181818182,0.6875
run_07,DAPSO-4,30,50.0,22,4,18,70,0.8070175438596491,0.55,0.8461538461538461,0.7954545454545454,0.6666666666666667
run_07,DAPSO-4,40,72.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_07,DAPSO-4,50,106.0,23,3,12,76,0.868421052631579,0.6571428571428571,0.8846153846153846,0.8636363636363636,0.7540983606557377
run_07,DAPSO-4,60,140.0,23,3,12,76,0.868421052631579,0.6571428571428571,0.8846153846153846,0.8636363636363636,0.7540983606557377
run_07,DAPSO-4,70,137.0,23,3,12,76,0.868421052631579,0.6571428571428571,0.8846153846153846,0.8636363636363636,0.7540983606557377
run_07,DAPSO-4,80,154.0,23,3,12,76,0.868421052631579,0.6571428571428571,0.8846153846153846,0.8636363636363636,0.7540983606557377
run_07,DAPSO-4,90,166.0,23,3,12,76,0.868421052631579,0.6571428571428571,0.8846153846153846,0.8636363636363636,0.7540983606557377
run_07,DAPSO-4,100,185.0,23,3,12,76,0.868421052631579,0.6571428571428571,0.8846153846153846,0.8636363636363636,0.7540983606557377
run_07,DAPSO-10,10,13.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_07,DAPSO-10,20,24.0,21,5,6,82,0.9035087719298246,0.7777777777777778,0.8076923076923077,0.9318181818181818,0.7924528301886792
run_07,DAPSO-10,30,39.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
